date,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source
2024-12-23,7963.06,7888.18,7971.57,7886.21,8927689,25125175486.0,1.07,-0.94,-74.87,0.9,index_zh_a_hist
2024-12-24,7886.09,7964.29,7968.57,7886.09,7528198,20930584999.0,1.05,0.96,76.11,0.76,index_zh_a_hist
2024-12-25,8003.55,7928.45,8024.35,7890.05,7621945,21781733170.2,1.69,-0.45,-35.84,0.77,index_zh_a_hist
2024-12-26,7908.67,7871.98,7924.22,7865.9,6561387,17963278116.7,0.74,-0.71,-56.47,0.66,index_zh_a_hist
2024-12-27,7866.38,7889.06,7930.64,7845.07,7747325,22283535311.3,1.09,0.22,17.08,0.78,index_zh_a_hist
2024-12-30,7881.16,7892.99,7951.68,7874.26,7421845,22576192320.9,0.98,0.05,3.93,0.75,index_zh_a_hist
2024-12-31,7889.53,7752.42,7892.35,7752.42,8964782,25111935108.6,1.77,-1.78,-140.57,0.9,index_zh_a_hist
2025-01-02,7757.5,7558.3,7765.9,7511.0,10575622,28824573729.0,3.29,-2.5,-194.12,1.06,index_zh_a_hist
2025-01-03,7562.73,7475.74,7613.21,7450.62,9247685,23938435480.5,2.15,-1.09,-82.56,0.93,index_zh_a_hist
2025-01-06,7506.6,7531.71,7593.47,7485.65,10735639,25786705678.2,1.44,0.75,55.97,1.08,index_zh_a_hist
2025-01-07,7517.61,7418.86,7517.61,7349.28,11311366,24371274325.9,2.23,-1.5,-112.85,1.14,index_zh_a_hist
2025-01-08,7410.65,7356.21,7423.31,7256.28,10083135,23871467346.0,2.25,-0.84,-62.65,1.02,index_zh_a_hist
2025-01-09,7337.03,7321.26,7403.41,7296.15,7394906,18087251236.3,1.46,-0.48,-34.95,0.74,index_zh_a_hist
2025-01-10,7330.73,7238.02,7354.59,7238.02,7353180,19356759740.6,1.59,-1.14,-83.24,0.74,index_zh_a_hist
2025-01-13,7199.53,7266.84,7290.76,7196.55,6946869,17495077490.3,1.3,0.4,28.82,0.7,index_zh_a_hist
2025-01-14,7278.23,7453.51,7468.11,7266.44,9919554,24945093080.7,2.78,2.57,186.67,1.0,index_zh_a_hist
2025-01-15,7436.75,7375.32,7436.75,7361.57,7225296,18549228578.4,1.01,-1.05,-78.19,0.73,index_zh_a_hist
2025-01-16,7400.47,7358.1,7486.08,7336.84,7956330,20557470872.5,2.02,-0.23,-17.22,0.8,index_zh_a_hist
2025-01-17,7327.53,7372.54,7416.66,7314.79,7089651,18263799485.9,1.38,0.2,14.44,0.71,index_zh_a_hist
2025-01-20,7425.31,7473.05,7533.12,7425.31,8667067,25143431965.9,1.46,1.36,100.51,0.87,index_zh_a_hist
2025-01-21,7502.64,7465.5,7514.48,7403.03,7422306,20334098472.0,1.49,-0.1,-7.55,0.75,index_zh_a_hist
2025-01-22,7432.23,7402.06,7437.21,7358.22,6827469,17835486651.1,1.06,-0.85,-63.44,0.69,index_zh_a_hist
2025-01-23,7454.18,7396.8,7507.5,7396.8,8074511,20249882551.9,1.5,-0.07,-5.26,0.81,index_zh_a_hist
2025-01-24,7374.88,7420.76,7465.81,7369.23,8166324,21711282830.1,1.31,0.32,23.96,0.82,index_zh_a_hist
2025-01-27,7432.32,7423.42,7507.81,7423.42,7370677,18354447374.1,1.14,0.04,2.66,0.74,index_zh_a_hist
2025-02-05,7467.84,7435.04,7469.53,7396.35,8189398,21202883295.9,0.99,0.16,11.62,0.82,index_zh_a_hist
2025-02-06,7430.4,7526.06,7527.67,7387.04,9289751,25677284695.1,1.89,1.22,91.02,0.94,index_zh_a_hist
2025-02-07,7532.24,7639.01,7693.79,7505.48,13725738,35558251246.3,2.5,1.5,112.95,1.38,index_zh_a_hist
2025-02-10,7650.38,7723.91,7732.61,7614.94,14637466,34520968713.0,1.54,1.11,84.9,1.47,index_zh_a_hist
2025-02-11,7734.86,7637.9,7734.86,7620.99,12386118,29481195599.6,1.47,-1.11,-86.01,1.25,index_zh_a_hist
2025-02-12,7617.35,7660.36,7667.62,7586.88,12545338,26840346018.2,1.06,0.29,22.46,1.26,index_zh_a_hist
2025-02-13,7651.46,7641.58,7703.07,7627.59,13526123,28878166300.8,0.99,-0.25,-18.78,1.36,index_zh_a_hist
2025-02-14,7641.43,7821.96,7854.11,7641.43,16164702,42424713561.5,2.78,2.36,180.38,1.63,index_zh_a_hist
2025-02-17,7908.72,7848.33,7957.06,7804.47,17707026,48679741555.6,1.95,0.34,26.37,1.78,index_zh_a_hist
2025-02-18,7825.94,7720.11,7868.49,7693.28,20116149,38479756619.4,2.23,-1.63,-128.22,2.03,index_zh_a_hist
2025-02-19,7706.2,7755.54,7796.82,7647.3,16700880,34943429495.0,1.94,0.46,35.43,1.68,index_zh_a_hist
2025-02-20,7761.29,7895.89,7961.48,7760.92,21817693,47587831527.7,2.59,1.81,140.35,2.2,index_zh_a_hist
2025-02-21,7899.98,7995.16,8004.31,7852.25,21084539,51056008566.5,1.93,1.26,99.27,2.12,index_zh_a_hist
2025-02-24,7987.1,7891.52,8002.42,7859.16,16707365,42085924302.4,1.79,-1.3,-103.64,1.68,index_zh_a_hist
2025-02-25,7806.62,7789.06,7843.56,7770.18,13343800,32323454133.4,0.93,-1.3,-102.46,1.34,index_zh_a_hist
2025-02-26,7800.73,7863.17,7865.62,7769.4,12371597,31401834933.7,1.24,0.95,74.11,1.25,index_zh_a_hist
2025-02-27,7846.82,7884.73,7926.31,7812.42,14585336,35764486855.5,1.45,0.27,21.56,1.47,index_zh_a_hist
2025-02-28,7856.77,7722.14,7926.93,7700.18,13943193,36540185533.4,2.88,-2.06,-162.59,1.4,index_zh_a_hist
2025-03-03,7722.76,7763.0,7865.48,7717.71,14266774,34628197028.8,1.91,0.53,40.86,1.44,index_zh_a_hist
2025-03-04,7733.49,7782.7,7805.82,7695.28,11292615,26660689622.8,1.42,0.25,19.7,1.14,index_zh_a_hist
2025-03-05,7780.72,7721.72,7783.61,7683.34,10282166,25017292663.9,1.29,-0.78,-60.98,1.04,index_zh_a_hist
2025-03-06,7756.06,7837.88,7856.17,7740.13,13883967,33663222411.1,1.5,1.5,116.16,1.4,index_zh_a_hist
