date,close,volume,source
2024-04-12,110.82,35283.0,stock_zh_a_hist_tx
2024-04-15,113.73,47464.0,stock_zh_a_hist_tx
2024-04-16,113.69,57689.0,stock_zh_a_hist_tx
2024-04-17,113.99,62539.0,stock_zh_a_hist_tx
2024-04-18,113.23,51445.0,stock_zh_a_hist_tx
2024-04-19,115.16,52384.0,stock_zh_a_hist_tx
2024-04-22,107.68,106343.0,stock_zh_a_hist_tx
2024-04-23,108.18,49115.0,stock_zh_a_hist_tx
2024-04-24,106.88,40336.0,stock_zh_a_hist_tx
2024-04-25,106.67,38767.0,stock_zh_a_hist_tx
2024-04-26,108.7,60047.0,stock_zh_a_hist_tx
2024-04-29,111.71,65152.0,stock_zh_a_hist_tx
2024-04-30,110.34,45976.0,stock_zh_a_hist_tx
2024-05-06,115.53,85232.0,stock_zh_a_hist_tx
2024-05-07,115.89,46706.0,stock_zh_a_hist_tx
2024-05-08,114.45,41030.0,stock_zh_a_hist_tx
2024-05-09,116.5,49342.0,stock_zh_a_hist_tx
2024-05-10,115.27,34856.0,stock_zh_a_hist_tx
2024-05-13,114.33,32318.0,stock_zh_a_hist_tx
2024-05-14,114.75,28539.0,stock_zh_a_hist_tx
2024-05-15,112.22,36561.0,stock_zh_a_hist_tx
2024-05-16,111.74,28600.0,stock_zh_a_hist_tx
2024-05-17,112.6,29680.0,stock_zh_a_hist_tx
2024-05-20,114.14,39062.0,stock_zh_a_hist_tx
2024-05-21,112.78,21566.0,stock_zh_a_hist_tx
2024-05-22,112.69,23989.0,stock_zh_a_hist_tx
2024-05-23,110.26,35932.0,stock_zh_a_hist_tx
2024-05-24,109.47,24792.0,stock_zh_a_hist_tx
2024-05-27,109.48,30041.0,stock_zh_a_hist_tx
2024-05-28,108.02,34247.0,stock_zh_a_hist_tx
2024-05-29,108.5,20954.0,stock_zh_a_hist_tx
2024-05-30,101.77,125400.0,stock_zh_a_hist_tx
2024-05-31,102.09,69031.0,stock_zh_a_hist_tx
2024-06-03,102.55,55662.0,stock_zh_a_hist_tx
2024-06-04,104.36,46152.0,stock_zh_a_hist_tx
2024-06-05,103.59,30202.0,stock_zh_a_hist_tx
2024-06-06,101.69,35582.0,stock_zh_a_hist_tx
2024-06-07,100.97,34514.0,stock_zh_a_hist_tx
2024-06-11,101.67,36018.0,stock_zh_a_hist_tx
2024-06-12,102.44,34723.0,stock_zh_a_hist_tx
2024-06-13,101.03,36911.0,stock_zh_a_hist_tx
